Code,Quantity,Variant
3442,1,
3384,1,
3449,1,
3377,1,
3392,1,
3434,1,
3433,1,
3423,1,
3420,1,
3363,1,
3401,1,
3399,1,
3414,1,
3400,1,
3365,1,
3391,1,
3383,1,
3385,1,
3431,1,
3357,1,
3426,1,
3373,1,
3386,1,
3367,1,
3448,1,
3407,1,
3406,1,
3381,1,
3201,1,
2718,1,
2798,1,
3428,1,
3429,1,
3394,1,
3395,1,
3421,1,
3396,1,
3378,1,
3413,1,
3397,1,
3387,1,
3375,1,
3356,1,
3364,1,
3393,1,
3419,1,
3418,1,
3410,1,
3355,1,
3415,1,
3380,1,
3358,1,
3403,1,
3360,1,
3368,1,
3441,1,
3408,1,
3424,1,
3398,1,
3435,1,
3388,1,
3359,1,
3402,1,
3389,1,
3409,1,
3447,1,
3436,1,
3446,1,
3444,1,
3374,1,
3443,1,
3370,1,
3379,1,
3430,1,
3425,1,
3440,1,
3372,1,
3376,1,
3369,1,
3417,1,
3427,1,
3437,1,
3371,1,
3362,1,
3432,1,
3445,1,
3439,1,
3390,1,
3438,1,
3405,1,
3411,1,
3361,1,
3404,1,
3422,1,
3412,1,
3366,1,
3382,1,
3416,1,
2541,1,
2540,1,
2499,1,
389,1,
2752,1,
2758,1,
659,1,
2515,1,
2489,1,
2734,1,
2735,1,
2732,1,
2733,1,
2731,1,
2513,1,
2222,1,
2749,1,
2737,1,
2750,1,
2080,1,
2081,1,
3450,1,
2078,1,
2470,1,
407,1,
410,1,
409,1,
408,1,
2403,1,
2416,1,
3460,1,
211,1,
3451,1,
3456,1,
3011,1,
3069,1,
3457,1,
3458,1,
94,1,
2407,1,
2405,1,
2408,1,
2406,1,
2079,1,
2227,1,
521,1,
2229,1,
428,1,
429,1,
2010,1,
2007,1,
2006,1,
2012,1,
2008,1,
2004,1,
2392,1,
2391,1,
2044,1,
2393,1,
2005,1,
727,1,
2132,1,
2133,1,
642,1,
2134,1,
2791,1,
42,1,
41,1,
40,1,
29,1,
357,1,
358,1,
356,1,
2421,1,
2303,1,
2223,1,
740,1,
2427,1,
2433,1,
2432,1,
2426,1,
2428,1,
2423,1,
2429,1,
2424,1,
700,1,
701,1,
702,1,
2224,1,
227,1,
277,1,
478,1,
473,1,
472,1,
484,1,
483,1,
2474,1,
2243,1,
733,1,
2404,1,
60,1,
2228,1,
2326,1,
2202,1,
2422,1,
335,1,
2306,1,
2304,1,
2305,1,
363,1,
2307,1,
2310,1,
2308,1,
2309,1,
2792,1,
405,1,
210,1,
207,1,
206,1,
203,1,
299,1,
300,1,
302,1,
2506,1,
2504,1,
2469,1,
2486,1,
2529,1,
2239,1,
2485,1,
28,1,
2479,1,
2542,1,
2159,1,
2498,1,
2532,1,
2038,1,
392,1,
51,1,
52,1,
2233,1,
2234,1,
2235,1,
2232,1,
2794,1,
693,1,
384,1,
2238,1,
2230,1,
2231,1,
2334,1,
2333,1,
2332,1,
587,1,
2793,1,
956,1,
2414,1,
2415,1,
265,1,
260,1,
2411,1,
995,1,
3459,1,
962,1,
543,1,
2018,1,
799,1,
47,1,
48,1,
3452,1,
2531,1,
2536,1,
3454,1,
3455,1,
519,1,
499,1,
515,1,
3453,1,
514,1,
517,1,
24,1,
7,1,
97,1,
31,1,
96,1,
27,1,
95,1,
34,1,
98,1,
99,1,
417,1,
93,1,
2760,1,
2335,1,
2336,1,
597,1,
2402,1,
218,1,
26,1,
2517,1,
2398,1,
599,1,
281,1,
205,1,
328,1,
479,1,
612,1,
601,1,
2337,1,
