產品碼,產品名稱,選項,預期,已計算
1,ECS000610----小青蛙后庭串珠（蓝）hk----1,,3.0000,
10,ECS000615----16频按摩棒（粉）----10,,3.0000,
100,"5011-01----[加拿大BMS]金属金色三速 无线震蛋----100",,3.0000,
1000,"G-101----日本GALAKU 雏鸡-头部可换式按摩棒----1000",,3.0000,
1001,"G-102----日本GALAKU 第六感-节点型按摩棒 白色----1001",,3.0000,
1002,"G-104----日本GALAKU 罗密亚-仿口红电光按摩棒----1002",,3.0000,
1003,"lv08A----澳洲Laviva 精灵公主-变频软刺旋转棒 蓝色----1003",,2.0000,
1004,"ABPKV----英國Rocks-Off 黑莓-电动按摩棒 粉色----1004",,3.0000,
1005,"LKPKV----英國Rocks-Off 小魔舌-阴蒂刺激器 粉色----1005",,3.0000,
1006,"RO120----英國Rocks-Off RO-120mm震动按摩棒----1006",,3.0000,
1007,"4USUV----英國Rocks-Off 4US锁精震动环 蓝色----1007",,3.0000,
1008,"RRPKV----英國Rocks-Off 顽皮小兔-电动按摩棒 红色----1008",,3.0000,
1009,"FTRDV----英國Rocks-Off 指尖激情手指套----1009",,3.0000,
101,3711-16----[加拿大BMS]橡胶粉红色小串珠按摩器----101,,3.0000,
1010,"SLPKV----英國Rocks-Off 红粉佳人-电动按摩棒----1010",,3.0000,
1011,"RRTSU----英國Rocks-Off 柔力-挺翘延时环 蓝色----1011",,3.0000,
1012,"RCPPV----英國Rocks-Off 乐雏-G点电动按摩棒 紫色----1012",,3.0000,
1013,"ROPK----英國Rocks-Off RO-80MM震动按摩棒 粉色----1013",,3.0000,
1014,"NBRDV----英國Rocks-Off 顽皮小子-前列腺按摩棒 红色----1014",,3.0000,
1015,"RBUV----英國Rocks-Off 野小子-前列腺按摩棒 蓝色----1015",,3.0000,
1016,"BBKV----英國Rocks-Off 坏小子-前列腺按摩棒 黑色----1016",,3.0000,
1017,"452016-r----韩国Xtassie 极光-10频炫彩震动棒 红色----1017",,3.0000,
1018,"453013----韩国Xtassie 玲巧-10频酒瓶装震动棒 紫红----1018",,3.0000,
1019,"451033----韩国Xtassie 玲珑-5频静音震动棒 绿色----1019",,3.0000,
102,3711-11----[加拿大BMS]橡胶黑色小串珠按摩器----102,,3.0000,
1020,"454011-r----韩国Xtassie 极乐-10频双弹按摩棒 红色----1020",,3.0000,
1021,"10103----挪威Laid P.2前列腺按摩环-中码 蓝色----1021",,3.0000,
1022,"10109----挪威Laid P.3锁精延时环 蓝色----1022",,3.0000,
1023,"10112----挪威Laid D.1女性G点探索棒 粉色----1023",,3.0000,
1024,"350014----荷兰REE 双头浪-震动按摩棒 蓝色----1024",,3.0000,
1025,"350016----荷兰REE 子母弹-屏显震动弹 蓝色----1025",,3.0000,
1026,"350015----荷兰REE 两重天-G点震动棒 蓝色----1026",,3.0000,
1027,"350024----荷兰REE 连芯弹-直充7频震动弹 黑色----1027",,3.0000,
1028,"350023----荷兰REE 连芯弹-直充7频震动弹 白色----1028",,3.0000,
1029,"350025----荷兰REE 调皮弹-直充7频震动弹 白色----1029",,3.0000,
103,3712-16----[加拿大BMS]橡胶粉红色大串珠按摩器----103,,3.0000,
1030,"350026----荷兰REE 调皮弹-直充7频震动弹 黑色----1030",,3.0000,
1031,"350017----荷兰REE 心动-震动按摩棒 粉色----1031",,3.0000,
1032,"350019----荷兰REE 心语-震动子弹 粉色----1032",,3.0000,
1033,"350020----荷兰REE 心锁-震动持久环 粉色----1033",,3.0000,
1034,"350021----荷兰REE 心扉-震动子弹 粉色----1034",,3.0000,
1035,"350018----荷兰REE 心欲-后庭拉珠 粉色----1035",,3.0000,
1036,"350022----荷兰REE 心结-夫妻蜜月套组 粉色----1036",,3.0000,
1037,"350009----荷兰REE 乐触-后庭震动棒 黑色----1037",,3.0000,
1038,"350008----荷兰REE 乐透-双头旋转棒 黑色----1038",,3.0000,
1039,"350007----荷兰REE 乐天-摇摆缩阴球 黑色----1039",,3.0000,
104,3712-11----[加拿大BMS]橡胶黑色大串珠按摩器----104,,3.0000,
1040,"350011----荷兰REE 乐融-震动阴茎环 黑色----1040",,3.0000,
1041,"350010----荷兰REE 乐点-遥控震动子弹 黑色----1041",,3.0000,
1043,"VE-074----日本VENUS 光速粒子Ⅱ代B----1043",,3.0000,
1044,VE-075----日本VENUS光速粒子Ⅱ代P----1044,,3.0000,
1045,VE-076----日本VENUS强力吸（双粒装）----1045,,3.0000,
1046,"IA904----變頻螺紋突擊色彩棒 自慰器 女用高潮 情趣 用品 女用 (紅色)----1046",,3.0000,
1047,"IA2001----刺の慰/软刺凸点震动刺激/成人情趣用品女用自慰器具 (黑白/紅橙)----1047",,3.0000,
1048,"av5----日本AVSTAR 琥珀歌名器----1048",,3.0000,
1049,VE-005----日本VENUS華麗一族(欲情編)----1049,,3.0000,
105,23516----[加拿大BMS]橡膠粉紅色雙頭G點按摩器----105,,3.0000,
1050,"av3----日本AVSTAR 横山美雪名器----1050",,3.0000,
1051,VE-006----日本VENUS华丽一族(色情编)----1051,,3.0000,
1052,VE-007----日本VENUS华丽一族(淫乱编)----1052,,3.0000,
1053,VE-008----日本VENUS情欲毒神①----1053,,3.0000,
1054,VE-009----日本VENUS情欲毒神②----1054,,3.0000,
1055,VE-010----日本VENUS情欲毒神③----1055,,3.0000,
1056,VE-020----日本VENUS伊泽千夏·千匹名器----1056,,3.0000,
1057,VE-023----日本VENUS美乳学园①(日野森莓)----1057,,3.0000,
1058,VE-024----日本VENUS美乳学园②(早川林檎)----1058,,3.0000,
1059,VE-027----日本VENUS真激降临----1059,,3.0000,
106,23510----[加拿大BMS]橡膠白色雙頭G點按摩器----106,,3.0000,
1060,"VE-028----日本VENUS桃穴·肛门 (电动)----1060",,3.0000,
1061,VE-030----日本VENUS天使降临----1061,,3.0000,
1062,VE-031----日本VENUS泉舞风扬----1062,,3.0000,
1063,VE-033----日本VENUS鳄鱼嘴(果梨)----1063,,3.0000,
1064,VE-034----日本VENUS鳄鱼嘴(神谷姬)----1064,,3.0000,
1065,VE-047----日本VENUS松岛れいか(蠕虫指眼)----1065,,3.0000,
1066,VE-048----日本VENUS南波杏(蠕虫花生)----1066,,3.0000,
1067,VE-049----日本VENUS水野うこりん(蠕虫蛹)----1067,,3.0000,
1068,VE-053----日本VENUS舞女·黑泽英里奈(口型)----1068,,3.0000,
1069,VE-054----日本VENUS舞女·宝月ひかる(厚阴)----1069,,3.0000,
107,23416----[加拿大BMS]橡胶粉红色圆弯头G点按摩器----107,,3.0000,
1070,VE-055----日本VENUS舞女·松野ろり(薄阴)----1070,,3.0000,
1071,"VE-057----日本VENUS松岛れいか(LADY NUDE)----1071",,3.0000,
1072,VE-058----日本VENUS升天蜜壶(持田茜二穴构造)----1072,,3.0000,
1073,VE-059----日本VENUS升天蜜壶(日向いらす二穴构造)----1073,,3.0000,
1074,"LT0401----杜蕾斯Play O女性快感增強液----1074",,3.0000,
1075,"RT0337----日本Aqua Style 医学触感双跳蛋(綠色)----1075",,3.0000,
1076,"RT0334----日本Aqua Style 医学触感双跳蛋(橙色)----1076",,3.0000,
1077,"RT0327----日本Aqua Style Egg0001 Blue101 醫學震蛋0001----1077",,3.0000,
1078,"DL0127----日本npg 粉软蛇 自由变幻的按摩器「紅影」----1078",,3.0000,
1079,"LT0261----日本Premium 肛交專用潤滑液(120ML)新宿二丁目同志推薦極品----1079",,3.0000,
108,23410----[加拿大BMS]橡胶白色圆弯头G点按摩器----108,,3.0000,
1080,"LT0262----(特濃)日本Premium 肛交專用潤滑液(120ml)新宿二丁目同志推薦----1080",,3.0000,
1081,DL0001----日本NPG無敵穿戴仿真陽具----1081,,3.0000,
1082,"LT0301----強生Johnson & Johnson K-Y人體潤滑50克裝----1082",,3.0000,
1083,DS0808----印度神油喷剂----1083,,3.0000,
1084,DS0809----高潮液㊣強力女用催情（外用）----1084,,3.0000,
1085,"SM0597----日本NPG 男根喷射机 (洗澡自慰佳品)----1085",,3.0000,
1086,"pumper----充氣娃娃專用 腳踏充氣泵----1086",,3.0000,
1087,"cd0215----日本岡本 Bosuwaru 安全套 1盒144個裝----1087",,3.0000,
1089,"dm0165----日本FAIRY BEAUTY 第七代 渦輪型排熱機能AV女優按摩棒(大凸點12500轉) 粉----1089",,3.0000,
109,"yc02----英國YOUCUPS優客仕戰士波浪脈沖振動器 男性電動口交自慰器----109",,3.0000,
1090,"F0430164----花園派對 紅花綠葉浪漫九分褲-花----1090",,3.0000,
1091,"F0312091-2----挑逗性感 蕾絲花邊性感連褲網襪（黑）----1091",,3.0000,
1092,"F0312091-1----挑逗性感 蕾絲花邊性感連褲網襪（大紅）----1092",,3.0000,
1093,"F0322089-2----蠱惑魅力 性感加檔連體絲襪（黑）----1093",,3.0000,
1094,"F0322088-2----圈圈相扣 時尚顯瘦提花連褲絲襪（黑）----1094",,3.0000,
1095,"F0322088-1----圈圈相扣 時尚顯瘦提花連褲絲襪（肉）----1095",,3.0000,
1096,"B1214135----驚艷動人 美背柔緞性感睡衣----1096",,3.0000,
1097,"B1283996----墜落天使 開襟薄透睡衣兩件式-黑----1097",,3.0000,
1098,"B3623630----輕舞花漾 蕾絲緞面細肩繞頸兩件式睡襯衣-白----1098",,3.0000,
1099,"B1285216----花情美人 開岔性感睡衣----1099",,3.0000,
11,"hulabeads----瑞典LELO HULA BEADS呼啦球女用無線遙控震動器----11",,3.0000,
110,8665----波浪型魔术胸垫----110,,3.0000,
1100,"B1133769----極致尤物 裸背性感睡衣 (粉藕)----1100",,3.0000,
